team,american_odds,source,snapshot_date
Spain,450,BetMGM via Yahoo Sports,2026-06-10
France,500,BetMGM via Yahoo Sports,2026-06-10
England,700,BetMGM via Yahoo Sports,2026-06-10
Brazil,800,BetMGM via Yahoo Sports,2026-06-10
Portugal,900,BetMGM via Yahoo Sports,2026-06-10
Argentina,900,BetMGM via Yahoo Sports,2026-06-10
Germany,1400,BetMGM via Yahoo Sports,2026-06-10
Netherlands,2000,BetMGM via Yahoo Sports,2026-06-10
Belgium,3300,BetMGM via Yahoo Sports,2026-06-10
Norway,3300,BetMGM via Yahoo Sports,2026-06-10
Colombia,4000,BetMGM via Yahoo Sports,2026-06-10
Morocco,4000,BetMGM via Yahoo Sports,2026-06-10
Japan,5000,BetMGM via Yahoo Sports,2026-06-10
United States,5000,BetMGM via Yahoo Sports,2026-06-10
Mexico,6600,BetMGM via Yahoo Sports,2026-06-10
Senegal,6600,BetMGM via Yahoo Sports,2026-06-10
Switzerland,6600,BetMGM via Yahoo Sports,2026-06-10
Turkey,6600,BetMGM via Yahoo Sports,2026-06-10
Uruguay,6600,BetMGM via Yahoo Sports,2026-06-10
Croatia,8000,BetMGM via Yahoo Sports,2026-06-10
Ecuador,8000,BetMGM via Yahoo Sports,2026-06-10
Sweden,10000,BetMGM via Yahoo Sports,2026-06-10
Austria,15000,BetMGM via Yahoo Sports,2026-06-10
Canada,15000,BetMGM via Yahoo Sports,2026-06-10
Ivory Coast,20000,BetMGM via Yahoo Sports,2026-06-10
Algeria,25000,BetMGM via Yahoo Sports,2026-06-10
Bosnia & Herzegovina,25000,BetMGM via Yahoo Sports,2026-06-10
Czech Republic,25000,BetMGM via Yahoo Sports,2026-06-10
Egypt,25000,BetMGM via Yahoo Sports,2026-06-10
South Korea,25000,BetMGM via Yahoo Sports,2026-06-10
Paraguay,25000,BetMGM via Yahoo Sports,2026-06-10
Scotland,25000,BetMGM via Yahoo Sports,2026-06-10
Australia,50000,BetMGM via Yahoo Sports,2026-06-10
Ghana,50000,BetMGM via Yahoo Sports,2026-06-10
Iran,50000,BetMGM via Yahoo Sports,2026-06-10
Tunisia,50000,BetMGM via Yahoo Sports,2026-06-10
DR Congo,75000,BetMGM via Yahoo Sports,2026-06-10
Cape Verde,100000,BetMGM via Yahoo Sports,2026-06-10
Iraq,100000,BetMGM via Yahoo Sports,2026-06-10
Jordan,100000,BetMGM via Yahoo Sports,2026-06-10
New Zealand,100000,BetMGM via Yahoo Sports,2026-06-10
Panama,100000,BetMGM via Yahoo Sports,2026-06-10
Qatar,100000,BetMGM via Yahoo Sports,2026-06-10
Saudi Arabia,100000,BetMGM via Yahoo Sports,2026-06-10
South Africa,100000,BetMGM via Yahoo Sports,2026-06-10
Uzbekistan,100000,BetMGM via Yahoo Sports,2026-06-10
Curacao,250000,BetMGM via Yahoo Sports,2026-06-10
Haiti,250000,BetMGM via Yahoo Sports,2026-06-10
